~id,~from,~to,~label,score:Int
9c847f66-f54e-11ea-a3f0-a45e60e78b29,003A000001lNMGJIA4,003A000001rhiBXIAY,knows,None
9c848042-f54e-11ea-a3f0-a45e60e78b29,003A000001RyCXxIAN,003A000001KDVUPIA5,knows,1
9c84810a-f54e-11ea-a3f0-a45e60e78b29,003A000001Ed0mlIAB,003A00000291qLQIAY,knows,1
9c8481b4-f54e-11ea-a3f0-a45e60e78b29,003A000001jPkdUIAS,003A000001xRgEkIAK,knows,None
9c84825e-f54e-11ea-a3f0-a45e60e78b29,0032K00002NkQWwQAN,003A000001qc5THIAY,knows,1
9c848308-f54e-11ea-a3f0-a45e60e78b29,003A000001nciXIIAY,003A000001lMPrUIAW,knows,1
9c8483a8-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVerIAH,003A000001u45JYIAY,knows,1
9c848466-f54e-11ea-a3f0-a45e60e78b29,003A000001Yj1FNIAZ,003A000001iWIhGIAW,knows,3
9c84857e-f54e-11ea-a3f0-a45e60e78b29,003A000001mvfbVIAQ,003A000001fZ0jPIAS,knows,1
9c84861e-f54e-11ea-a3f0-a45e60e78b29,003A0000023aaCkIAI,003A000001KDVb0IAH,knows,1
9c8486be-f54e-11ea-a3f0-a45e60e78b29,0032K00002DvS29QAF,003A000001riRCoIAM,knows,None
9c848768-f54e-11ea-a3f0-a45e60e78b29,003A000001gkXI2IAM,0032K00002G425LQAR,knows,None
9c848808-f54e-11ea-a3f0-a45e60e78b29,003A000001wWKrNIAW,003A000001ykx0MIAQ,knows,None
9c8488a8-f54e-11ea-a3f0-a45e60e78b29,003A000001t3mNeIAI,003A000001pVivfIAC,knows,0
9c848966-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVZsIAP,003A000001iXVEeIAO,knows,1
9c848a92-f54e-11ea-a3f0-a45e60e78b29,003A0000020PabQIAS,003A000001rkfKAIAY,knows,1
9c848b96-f54e-11ea-a3f0-a45e60e78b29,003A000001wmtZCIAY,003A000001lqTzDIAU,knows,1
9c848d80-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvSuIAK,003A000001xfCeOIAU,knows,None
9c848fa6-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvS3IAK,003A0000019stnfIAA,knows,1
9c8490be-f54e-11ea-a3f0-a45e60e78b29,003A000001fH13KIAS,003A000001p3GVBIA2,knows,0
9c849226-f54e-11ea-a3f0-a45e60e78b29,003A000001dMbNsIAK,003A000001qEfk9IAC,knows,0
9c84942e-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVOOIA5,003A000001KDVgXIAX,knows,2
9c8496c2-f54e-11ea-a3f0-a45e60e78b29,003A000001xe9STIAY,003A000001Jo8LjIAJ,knows,1
9c84996a-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvalIAC,003A0000021DPGGIA4,knows,None
9c849abe-f54e-11ea-a3f0-a45e60e78b29,003A000001DbpFEIAZ,003A000001fOZ9TIAW,knows,1
9c849b7c-f54e-11ea-a3f0-a45e60e78b29,0032K00002NkQWwQAN,003A000001qDyi6IAC,knows,1
9c849c30-f54e-11ea-a3f0-a45e60e78b29,0032K00002PdiNxQAJ,003A000001kGApzIAG,knows,1
9c849cd0-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVR8IAP,003A000001t5yY5IAI,knows,None
9c84a022-f54e-11ea-a3f0-a45e60e78b29,003A000001Tw5caIAB,003A000001m9fGfIAI,knows,1
9c84a1f8-f54e-11ea-a3f0-a45e60e78b29,003A000001g81QUIAY,003A000001KDVUbIAP,knows,1
9c84a2b6-f54e-11ea-a3f0-a45e60e78b29,003A0000023ZJKYIA4,003A000001vzKnRIAU,knows,None
9c84a50e-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVS4IAP,003A000001vzKeEIAU,knows,1
9c84a644-f54e-11ea-a3f0-a45e60e78b29,003A000001Jo8LjIAJ,003A000001jg0EnIAI,knows,2
9c84a702-f54e-11ea-a3f0-a45e60e78b29,003A000001Ed0m2IAB,003A000001xhEpDIAU,knows,None
9c84a7b6-f54e-11ea-a3f0-a45e60e78b29,003A000002ABi0zIAD,003A000001Fk4V2IAJ,knows,3
9c84a856-f54e-11ea-a3f0-a45e60e78b29,003A000001FmXIYIA3,003A000001pSoHBIA0,knows,0
9c84a900-f54e-11ea-a3f0-a45e60e78b29,003A000001qKwm4IAC,003A000001slvTmIAI,knows,None
9c84a9aa-f54e-11ea-a3f0-a45e60e78b29,003A000001tNz9YIAS,003A000001pyi97IAA,knows,0
9c84aa5e-f54e-11ea-a3f0-a45e60e78b29,003A000001hWkUUIA0,003A000000yMvbhIAC,knows,2
9c84ab08-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVYJIA5,003A000001p6qLEIAY,knows,3
9c84aba8-f54e-11ea-a3f0-a45e60e78b29,0032K00002NkQqcQAF,003A000001KDVQSIA5,knows,1
9c84ac48-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVPdIAP,003A000001tRtuaIAC,knows,None
9c84ace8-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVU4IAP,003A000001GKtlQIAT,knows,1
9c84ad88-f54e-11ea-a3f0-a45e60e78b29,003A000001r7jg4IAA,003A000001t3qi2IAA,knows,1
9c84ae32-f54e-11ea-a3f0-a45e60e78b29,003A000001rhlzUIAQ,003A000001KDVh0IAH,knows,1
9c84aed2-f54e-11ea-a3f0-a45e60e78b29,003A000001OzA8lIAF,0032K00002DvAu0QAF,knows,None
9c84af72-f54e-11ea-a3f0-a45e60e78b29,003A000001V8NeEIAV,0032K00002Ajn5MQAR,knows,None
9c84b012-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVP2IAP,003A000001rkHlNIAU,knows,2
9c84b152-f54e-11ea-a3f0-a45e60e78b29,003A000001kJ4WeIAK,003A0000021DNKQIA4,knows,None
9c84b1fc-f54e-11ea-a3f0-a45e60e78b29,003A000001lrhZkIAI,003A000001fZ0pTIAS,knows,1
9c84b29c-f54e-11ea-a3f0-a45e60e78b29,003A0000022CuhUIAS,003A000001r85ZrIAI,knows,1
9c84b33c-f54e-11ea-a3f0-a45e60e78b29,003A000001na1QJIAY,003A000001iuNoXIAU,knows,1
9c84b3d2-f54e-11ea-a3f0-a45e60e78b29,003A000000yMvalIAC,0032K00002Cmf88QAB,knows,None
9c84b472-f54e-11ea-a3f0-a45e60e78b29,003A000001xRgEcIAK,003A000001iuvoTIAQ,knows,1
9c84b51c-f54e-11ea-a3f0-a45e60e78b29,003A000001slo1BIAQ,0032K00002CmhY0QAJ,knows,None
9c84b5c6-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVXRIA5,003A000001KDVUaIAP,knows,1
9c84b666-f54e-11ea-a3f0-a45e60e78b29,003A0000023aaCkIAI,003A000001hGaZcIAK,knows,1
9c84b6fc-f54e-11ea-a3f0-a45e60e78b29,003A000001rh2ZAIAY,003A000001sjeaJIAQ,knows,1
9c84b79c-f54e-11ea-a3f0-a45e60e78b29,003A0000026OFqPIAW,0032K00002Du1fzQAB,knows,None
9c84b83c-f54e-11ea-a3f0-a45e60e78b29,003A000001qEN4OIAW,003A000001p58wzIAA,knows,0
9c84b8dc-f54e-11ea-a3f0-a45e60e78b29,003A000001slvTqIAI,003A000000yMvSSIA0,knows,2
9c84b97c-f54e-11ea-a3f0-a45e60e78b29,003A000001t3lnxIAA,003A00000118DJpIAM,knows,4
9c84ba1c-f54e-11ea-a3f0-a45e60e78b29,003A000001pVkdUIAS,003A000001slPrqIAE,knows,None
9c84babc-f54e-11ea-a3f0-a45e60e78b29,003A000001xRjQhIAK,003A000001kyQP3IAM,knows,1
9c84bb5c-f54e-11ea-a3f0-a45e60e78b29,003A000001jOzWZIA0,0032K00002NkQo7QAF,knows,None
9c84bc06-f54e-11ea-a3f0-a45e60e78b29,003A000001zW3WwIAK,003A0000020vuPNIAY,knows,1
9c84bca6-f54e-11ea-a3f0-a45e60e78b29,003A000001KDVerIAH,003A000001o9q3yIAA,knows,0
9c84bd46-f54e-11ea-a3f0-a45e60e78b29,003A000001rkEDFIA2,0032K00002G5ZToQAN,knows,None
